縣市,測站名稱,AQI,空氣品質
基隆市,基隆,55,普通
新北市,汐止,59,普通
新北市,萬里,48,良好
新北市,新店,58,普通
新北市,土城,65,普通
新北市,板橋,56,普通
新北市,新莊,54,普通
新北市,菜寮,54,普通
新北市,林口,42,良好
新北市,淡水,59,普通
臺北市,士林,51,普通
臺北市,中山,59,普通
臺北市,萬華,58,普通
臺北市,古亭,64,普通
臺北市,松山,73,普通
臺北市,大同,65,普通
桃園市,桃園,66,普通
桃園市,大園,65,普通
桃園市,觀音,63,普通
桃園市,平鎮,67,普通
桃園市,龍潭,76,普通
新竹縣,湖口,82,普通
新竹縣,竹東,73,普通
新竹市,新竹,90,普通
苗栗縣,頭份,95,普通
苗栗縣,苗栗,85,普通
苗栗縣,三義,42,良好
臺中市,豐原,58,普通
臺中市,沙鹿,73,普通
臺中市,大里,75,普通
臺中市,忠明,68,普通
臺中市,西屯,71,普通
彰化縣,彰化,72,普通
彰化縣,線西,70,普通
彰化縣,二林,96,普通
南投縣,南投,84,普通
雲林縣,斗六,105,對敏感族群不健康
雲林縣,崙背,80,普通
嘉義縣,新港,77,普通
嘉義縣,朴子,74,普通
雲林縣,臺西,49,良好
嘉義市,嘉義,87,普通
臺南市,新營,67,普通
臺南市,善化,70,普通
臺南市,安南,68,普通
臺南市,臺南,69,普通
高雄市,美濃,61,普通
高雄市,橋頭,72,普通
高雄市,仁武,78,普通
高雄市,鳳山,72,普通
高雄市,大寮,74,普通
高雄市,林園,65,普通
高雄市,楠梓,68,普通
高雄市,左營,75,普通
高雄市,前金,67,普通
高雄市,前鎮,70,普通
高雄市,小港,65,普通
屏東縣,屏東,68,普通
屏東縣,潮州,84,普通
屏東縣,恆春,42,良好
臺東縣,臺東,34,良好
花蓮縣,花蓮,33,良好
臺北市,陽明,32,良好
宜蘭縣,宜蘭,39,良好
宜蘭縣,冬山,40,良好
新北市,三重,60,普通
桃園市,中壢,85,普通
南投縣,竹山,102,對敏感族群不健康
新北市,永和,60,普通
高雄市,復興,67,普通
南投縣,埔里,74,普通
連江縣,馬祖,60,普通
金門縣,金門,90,普通
澎湖縣,馬公,58,普通
臺東縣,關山,35,良好
雲林縣,麥寮,72,普通
新北市,富貴角,53,普通
彰化縣,大城,67,普通
彰化縣,彰化(員林),86,普通
高雄市,高雄(湖內),50,良好
臺南市,臺南(麻豆),68,普通
屏東縣,屏東(琉球),60,普通
屏東縣,屏東縣（泰武）,87,普通
新北市,新北(樹林),79,普通
屏東縣,屏東(枋山),44,良好
